days;spei
1943-10-16;1.4024
1943-11-16;0.60852
1943-12-16;-0.24248
1944-01-16;0.17325
1944-02-15;1.4094
1944-03-16;1.765
1944-04-16;-0.79093
1944-05-16;-0.085676
1944-06-16;-0.17893
1944-07-16;1.1477
1944-08-16;-1.6975
1944-09-16;-1.0311
1944-10-16;1.5546
1944-11-16;0.78579
1944-12-16;-0.85739
1945-01-16;0.21573
1945-02-15;-0.44843
1945-03-16;-0.83516
1945-04-16;0.048532
1945-05-16;-1.0264
1945-06-16;-0.52316
1945-07-16;0.65532
1945-08-16;-0.78785
1945-09-16;-1.1158
1945-10-16;-1.3614
1945-11-16;-0.59091
1945-12-16;-0.24248
1946-01-16;0.17325
1946-02-15;0.22347
1946-03-16;0.17898
1946-04-16;1.7068
1946-05-16;0.56
1946-06-16;-0.51693
1946-07-16;0.33444
1946-08-16;1.5182
1946-09-16;0.24128
1946-10-16;-0.073868
1946-11-16;1.7474
1946-12-16;0.71779
1947-01-16;0.549
1947-02-15;0.98466
1947-03-16;0.418
1947-04-16;-0.64544
1947-05-16;-0.75978
1947-06-16;0.39014
1947-07-16;-0.028511
1947-08-16;1.7417
1947-09-16;0.012024
1947-10-16;-0.88726
1947-11-16;-1.1472
1947-12-16;1.8665
1948-01-16;0.46702
1948-02-15;-0.44843
1948-03-16;-0.3713
1948-04-16;0.84877
1948-05-16;0.88864
1948-06-16;0.47035
1948-07-16;-0.97606
1948-08-16;1.6706
1948-09-16;-0.38252
1948-10-16;-0.7046
1948-11-16;1.8487
1948-12-16;0.21355
1949-01-16;-1.1066
1949-02-15;-0.44843
1949-03-16;-0.12596
1949-04-16;-1.0079
1949-05-16;0.88459
1949-06-16;-0.7565
1949-07-16;-1.1126
1949-08-16;0.06461
1949-09-16;-0.22502
1949-10-16;-0.12712
1949-11-16;-0.74937
1949-12-16;-0.85739
1950-01-16;0.17325
1950-02-15;1.3093
1950-03-16;-0.83516
1950-04-16;-1.4301
1950-05-16;0.32382
1950-06-16;-1.0355
1950-07-16;1.4368
1950-08-16;1.3977
1950-09-16;1.3792
1950-10-16;0.50059
1950-11-16;0.38218
1950-12-16;-0.81148
1951-01-16;0.17325
1951-02-15;0.62171
1951-03-16;0.5271
1951-04-16;0.45003
1951-05-16;1.5824
1951-06-16;0.74623
1951-07-16;0.47009
1951-08-16;-1.1725
1951-09-16;0.66503
1951-10-16;0.37082
1951-11-16;-0.11103
1951-12-16;-0.85739
1952-01-16;-1.1066
1952-02-15;0.62171
1952-03-16;-0.19918
1952-04-16;0.75525
1952-05-16;-0.05032
1952-06-16;-1.5182
1952-07-16;-0.084143
1952-08-16;-0.11941
1952-09-16;-1.7651
1952-10-16;1.1681
1952-11-16;-1.4278
1952-12-16;1.2589
1953-01-16;0.38406
1953-02-15;-1.4936
1953-03-16;-1.2359
1953-04-16;1.1985
1953-05-16;-2.0294
1953-06-16;1.6
1953-07-16;2.0634
1953-08-16;0.8577
1953-09-16;-0.27653
1953-10-16;2.2645
1953-11-16;-1.4176
1953-12-16;-0.85739
1954-01-16;0.38406
1954-02-15;-0.44843
1954-03-16;0.69088
1954-04-16;1.5903
1954-05-16;0.38816
1954-06-16;-0.62348
1954-07-16;1.0831
1954-08-16;1.7245
1954-09-16;-1.0457
1954-10-16;0.61368
1954-11-16;-1.3573
1954-12-16;1.0195
1955-01-16;0.21573
1955-02-15;-0.41277
1955-03-16;1.6018
1955-04-16;1.1316
1955-05-16;2.2471
1955-06-16;0.30501
1955-07-16;-1.4359
1955-08-16;0.84569
1955-09-16;1.757
1955-10-16;1.4765
1955-11-16;-0.56999
1955-12-16;-0.81148
1956-01-16;0.17325
1956-02-15;0.39316
1956-03-16;-1.336
1956-04-16;1.9511
1956-05-16;0.31338
1956-06-16;0.86648
1956-07-16;1.6708
1956-08-16;0.26833
1956-09-16;-0.33561
1956-10-16;1.4335
1956-11-16;1.7104
1956-12-16;-0.72259
1957-01-16;0.17325
1957-02-15;0.716
1957-03-16;0.37536
1957-04-16;-1.1151
1957-05-16;0.70883
1957-06-16;0.97428
1957-07-16;0.54356
1957-08-16;0.89923
1957-09-16;-1.7292
1957-10-16;1.7059
1957-11-16;1.1866
1957-12-16;-0.85739
1958-01-16;-1.1066
1958-02-15;-0.41277
1958-03-16;0.30209
1958-04-16;0.28526
1958-05-16;1.176
1958-06-16;-0.12295
1958-07-16;1.9187
1958-08-16;0.40081
1958-09-16;-0.33315
1958-10-16;0.064149
1958-11-16;0.25345
1958-12-16;-0.7889
1959-01-16;-1.1066
1959-02-15;-1.2715
1959-03-16;-1.597
1959-04-16;-0.087659
1959-05-16;0.47069
1959-06-16;1.8868
1959-07-16;2.1073
1959-08-16;-0.72525
1959-09-16;1.001
1959-10-16;-1.3083
1959-11-16;0.36763
1959-12-16;-1.1562
1960-01-16;0.34226
1960-02-15;-1.4936
1960-03-16;1.4536
1960-04-16;0.0072085
1960-05-16;0.71766
1960-06-16;-1.0193
1960-07-16;0.1432
1960-08-16;-1.1152
1960-09-16;0.75184
1960-10-16;-0.79046
1960-11-16;-0.039919
1960-12-16;-1.7419
1961-01-16;0.17325
1961-02-15;1.6209
1961-03-16;-0.19918
1961-04-16;-0.16866
1961-05-16;2.2488
1961-06-16;-0.096657
1961-07-16;2.5208
1961-08-16;-0.17212
1961-09-16;-0.8453
1961-10-16;0.24688
1961-11-16;-0.95069
1961-12-16;-0.85739
1962-01-16;0.17325
1962-02-15;0.084618
1962-03-16;-0.0026541
1962-04-16;1.1254
1962-05-16;0.49759
1962-06-16;-2.021
1962-07-16;0.78668
1962-08-16;0.58206
1962-09-16;-0.50632
1962-10-16;0.96563
1962-11-16;0.022437
1962-12-16;2.4707
1963-01-16;0.66991
1963-02-15;-1.2063
1963-03-16;1.7059
1963-04-16;1.6175
1963-05-16;0.71325
1963-06-16;-1.1
1963-07-16;-0.71148
1963-08-16;1.3977
1963-09-16;-1.5861
1963-10-16;1.6421
1963-11-16;-1.0246
1963-12-16;-0.38335
1964-01-16;0.17325
1964-02-15;-0.44843
1964-03-16;-0.090109
1964-04-16;-0.68154
1964-05-16;-1.6006
1964-06-16;-0.2505
1964-07-16;1.1292
1964-08-16;1.9778
1964-09-16;1.1214
1964-10-16;0.49457
1964-11-16;0.24416
1964-12-16;-0.29403
1965-01-16;-0.25473
1965-02-15;-0.34137
1965-03-16;-0.31279
1965-04-16;-1.0519
1965-05-16;-0.73648
1965-06-16;-0.61089
1965-07-16;0.79047
1965-08-16;-0.32462
1965-09-16;-0.35288
1965-10-16;-1.9631
1965-11-16;-0.49157
1965-12-16;2.0412
1966-01-16;1.9677
1966-02-15;-1.2063
1966-03-16;-0.037264
1966-04-16;-1.1979
1966-05-16;1.2874
1966-06-16;-0.79155
1966-07-16;1.5309
1966-08-16;-1.9149
1966-09-16;1.431
1966-10-16;0.19259
1966-11-16;2.2006
1966-12-16;1.348
1967-01-16;1.7414
1967-02-15;-1.4936
1967-03-16;0.048337
1967-04-16;-0.2458
1967-05-16;-0.84345
1967-06-16;0.916
1967-07-16;1.4681
1967-08-16;-0.38201
1967-09-16;-0.92873
1967-10-16;-0.1527
1967-11-16;-1.4532
1967-12-16;1.2895
1968-01-16;1.3658
1968-02-15;2.0697
1968-03-16;0.56633
1968-04-16;0.88134
1968-05-16;-0.38585
1968-06-16;0.91396
1968-07-16;-0.17583
1968-08-16;-1.5617
1968-09-16;0.93107
1968-10-16;0.042977
1968-11-16;-0.44696
1968-12-16;-0.516
1969-01-16;0.17325
1969-02-15;-0.44843
1969-03-16;-0.019896
1969-04-16;0.20851
1969-05-16;-0.67686
1969-06-16;-1.6645
1969-07-16;0.30262
1969-08-16;1.8364
1969-09-16;-0.90914
1969-10-16;0.35031
1969-11-16;0.67386
1969-12-16;0.38159
1970-01-16;0.34226
1970-02-15;-0.44843
1970-03-16;-0.65942
1970-04-16;1.2251
1970-05-16;1.3271
1970-06-16;-0.97104
1970-07-16;0.17148
1970-08-16;0.22547
1970-09-16;-0.023827
1970-10-16;0.99785
1970-11-16;-1.1904
1970-12-16;-0.85739
1971-01-16;0.17325
1971-02-15;0.62171
1971-03-16;-0.19918
1971-04-16;0.2947
1971-05-16;-0.12135
1971-06-16;1.4119
1971-07-16;-2.0172
1971-08-16;-0.37913
1971-09-16;0.314
1971-10-16;-1.0471
1971-11-16;-1.278
1971-12-16;0.12152
1972-01-16;-1.1066
1972-02-15;0.89752
1972-03-16;-1.1624
1972-04-16;-0.36416
1972-05-16;0.3703
1972-06-16;-1.0451
1972-07-16;-0.32637
1972-08-16;-2.0209
1972-09-16;0.38332
1972-10-16;-1.0237
1972-11-16;-0.36732
1972-12-16;-0.065564
1973-01-16;-1.1066
1973-02-15;-1.4936
1973-03-16;-1.597
1973-04-16;-1.1469
1973-05-16;-0.54596
1973-06-16;1.3257
1973-07-16;-0.54881
1973-08-16;0.40081
1973-09-16;-1.1062
1973-10-16;0.62935
1973-11-16;-0.84662
1973-12-16;0.26364
1974-01-16;0.17325
1974-02-15;-0.44843
1974-03-16;1.2686
1974-04-16;0.93086
1974-05-16;0.97167
1974-06-16;-1.3007
1974-07-16;-0.56
1974-08-16;-0.73715
1974-09-16;1.7169
1974-10-16;0.42387
1974-11-16;-1.4942
1974-12-16;-0.85739
1975-01-16;0.749
1975-02-15;1.0414
1975-03-16;0.77269
1975-04-16;-1.2042
1975-05-16;0.63453
1975-06-16;0.53623
1975-07-16;0.5029
1975-08-16;0.27334
1975-09-16;1.2686
1975-10-16;0.37492
1975-11-16;0.84227
1975-12-16;-0.14371
1976-01-16;1.3658
1976-02-15;-0.44843
1976-03-16;-1.0663
1976-04-16;1.3783
1976-05-16;-2.1777
1976-06-16;-0.11417
